"Product Name",Type,SKU,"Attribute Set Name","Skin Concern(s)","Benefits - Quiz",status,qty
"Travel-size DermalQuench Liquid Lift and ExfoliKate (Complimentary Gift) Expedited shipping is not available for orders containing DermalQuench Liquid Lift. Shipping not available to APO/FPO, Alaska, Hawaii, PR, VI or International addresses.",simple,16147,"Kate Somerville","All Skin Types",,enabled,141
"Kate Somerville Beach Towel (Complimentary Gift)",simple,80256,"Kate Somerville","All Skin Types",,enabled,162
"Private Island Duo",simple,13016,"Kate Somerville","All Skin Types",,disabled,487
"Surf's Up Tanning Duo",simple,13017,"Kate Somerville","All Skin Types",,disabled,496
"Ready, Set, Glow Tanning Duo",simple,13018,"Kate Somerville","All Skin Types",,disabled,496
"Daily Deflector™ Moisturizer Broad Spectrum SPF 50+ PA+++",simple,10189,"Kate Somerville Protection","Anti-Aging;All Skin Types",,enabled,2815
"Illumikate CC Cream Broad Spectrum SPF 50+ PA+++ (Fair) [Do Not Use]",simple,10191_old,"Kate Somerville","All Skin Types",,disabled,0
"Illumikate CC Cream Broad Spectrum SPF 50+ PA+++ (Light) [Do Not Use]",simple,10186_old,"Kate Somerville","All Skin Types",,disabled,0
"Illumikate CC Cream Broad Spectrum SPF 50+ PA+++ (Light/Medium) [Do Not Use]",simple,10192_old,"Kate Somerville","All Skin Types",,disabled,0
"Illumikate CC Cream Broad Spectrum SPF 50+ PA+++ (Medium) [Do Not Use]",simple,10187_old,"Kate Somerville","All Skin Types",,disabled,0
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++",configurable,10186_illumikate,"Kate Somerville","All Skin Types",,enabled,0
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Light)",simple,10186,"Kate Somerville","All Skin Types",,enabled,1060
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Fair)",simple,10191,"Kate Somerville","All Skin Types",,enabled,896
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Light/Medium)",simple,10192,"Kate Somerville","All Skin Types",,enabled,438
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Medium)",simple,10187,"Kate Somerville","All Skin Types",,enabled,378
"KateCeuticals™ Replenishing Toner",simple,10195,"Kate Somerville",Anti-Aging,,enabled,470
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Fair) (Sample)",simple,39024,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,142
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Light) (Sample)",simple,39026,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,148
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Light/Medium) (Sample)",simple,39027,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,875
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Medium) (Sample)",simple,39028,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,1007
"IllumiKate™ CC Cream Broad Spectrum SPF 50+ PA+++ (Extra Fair)",simple,10199,"Kate Somerville","All Skin Types",,enabled,274
"Age Arrest Anti-Wrinkle Cream (Sample)",simple,39025,"Kate Somerville",Anti-Aging,,enabled,839
"Kate's Clear Solutions Acne Kit",simple,13021,"Kate Somerville",Acne,,enabled,579
"Kate's Correct & Renew Brightening Kit",simple,13022,"Kate Somerville",Anti-Aging,,disabled,0
"KateCeuticals™ Rich and Powerful Collection",simple,13024,"Kate Somerville",,,disabled,115
"DermalQuench Liquid Lift™ Advanced Wrinkle Treatment",configurable,10143_dermalquench,"Kate Somerville Anti Aging Treatments","Anti-Aging;All Skin Types",,enabled,0
"Nourish Body Perfection Body Rescue Cream + Dilo Oil Restorative Treatment Deluxe Sample (Complimentary Gift)",simple,16200,"Kate Somerville",,,disabled,46
"DermalQuench Liquid Lift™ Advanced Wrinkle Treatment, 2.5 Fl. Oz.",simple,10143,"Kate Somerville Anti Aging Treatments",,,enabled,4663
"DermalQuench Liquid Lift™ Advanced Wrinkle Treatment, 5 Fl. Oz. Luxury Size",simple,10177,"Kate Somerville Anti Aging Treatments",,,enabled,879
"Age Arrest Anti-Wrinkle Cream (Deluxe Sample)",simple,35201,"Kate Somerville Moisturizers","Sensitive;All Skin Types",,enabled,1691
"Age Arrest Anti-Wrinkle Cream and RetAsphere 2-in-1 Retinol Night Cream (Deluxe Samples)",simple,13027,"Kate Somerville Moisturizers","Sensitive;All Skin Types",,enabled,5
"Age Arrest Eye Cream (Allure Gift)",simple,16218,"Kate Somerville Eye Creams",Anti-Aging;Sensitive,,enabled,0
"The SOS Kit (Sweepstakes Prize)",simple,16131,"Kate Somerville",,,enabled,3
"Anti-Aging Assortment (Sample Kit)",simple,35233,media_gallery,Anti-Aging,,enabled,0
"Oily/Acne Prone Assortment (Sample Kit)",simple,35234,media_gallery,Acne;Oily,,enabled,1100
"Somerville360® Body & Sun Assortment (Sample Kit)",simple,35235,media_gallery,"All Skin Types",,disabled,0
"D-Scar Scar Diminishing Serum (Complimentary Deluxe Sample)",simple,35125,"Kate Somerville",,,enabled,285
"HydraClear™ Hydrating Acne Gel",simple,10200,"Kate Somerville Acne Treatments",Acne,,enabled,484
"HydraClear™ Hydrating Acne Gel (Sample)",simple,39047,"Kate Somerville",Acne,,enabled,218
"Clinic Solutions Kit",simple,10204,"Kate Somerville",Anti-Aging,,enabled,172
"True Lash™ Lash Enhancing Eye Makeup Remover (Complimentary Gift)",simple,35101,"Kate Somerville",,,enabled,921
"The Glow Maximizer Kit (Complimentary Gift)",simple,16149,"Kate Somerville",,,enabled,139
"Eczema Therapy Cream",simple,10205,"Kate Somerville Moisturizers",Sensitive,,enabled,228
"Age Arrest Eye Cream (Sample)",simple,39036,"Kate Somerville",Anti-Aging;Sensitive,,enabled,524
"Daily Deflector™ Moisturizer Broad Spectrum SPF 50+ PA+++ (Sample)",simple,39023,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
"Wrinkle Release Duo",simple,13035,"Kate Somerville",Anti-Aging,,enabled,266
"CytoCell™ Duo",simple,13034,"Kate Somerville",Anti-Aging,,enabled,439
"Age Arrest Hydrating Firming Mask",simple,10215,"Kate Somerville Masks",Anti-Aging;Sensitive,,enabled,142
"Mega-C Dual Radiance Serum ",simple,10216,"Kate Somerville Serums",Anti-Aging,,enabled,551
"DermalQuench Clear™ Anti-Acne Treatment",simple,10213,"Kate Somerville Acne Treatments",Acne,,enabled,150
"FlyKate - Passport to First Class Beauty (Complimentary Gift)",simple,35137,"Kate Somerville","All Skin Types",,enabled,1579
"Red Carpet Essentials Kit",simple,10211,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,109
"Nourish Daily Moisturizer, 0.5 oz Travel Size",simple,10198,"Kate Somerville Moisturizers",Anti-Aging;Sensitive,,disabled,0
"Travel-size Age Arrest Eye Cream and True Lash Lash Enhancing Eye Makeup Remover (Complimentary Gift)",simple,13036,"Kate Somerville",,,disabled,0
"IllumiKate™ Concealing Eye Cream",configurable,10208_illumikate,"Kate Somerville","All Skin Types",,enabled,0
"IllumiKate™ Concealing Eye Cream (Light)",simple,10208,"Kate Somerville","All Skin Types",,enabled,249
"IllumiKate™ Concealing Eye Cream (Medium)",simple,10209,"Kate Somerville","All Skin Types",,enabled,140
"IllumiKate™ Concealing Eye Cream (Dark)",simple,10210,"Kate Somerville","All Skin Types",,enabled,396
"LumiWhite Dark Spot Corrector",simple,10207,"Kate Somerville Discoloration Treatments",Anti-Aging;Discoloration,,enabled,2365
"LumiWhite Skin Tone Perfector",simple,10206,"Kate Somerville Discoloration Treatments",Anti-Aging;Discoloration,,enabled,260
"RetAsphere Micro Peel Retinol Glycolic Treatment",simple,10217,"Kate Somerville Anti Aging Treatments",Anti-Aging,,enabled,604
"High Definition Wrinkle Repair",simple,10221,"Kate Somerville Moisturizers",,,disabled,0
"Ultimate Oil Free Duo (Complimentary Gift)",simple,13038,"Kate Somerville",,,enabled,89
"Mega-C Dual Radiance Serum (Sample)",simple,39042,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,547
"Age Arrest Hydrating Firming Mask (Sample)",simple,39041,"Kate Somerville",Anti-Aging;Sensitive,,disabled,0
"RetAsphere™ Micro Peel Retinol Glycolic Treatment (Sample)",simple,39043,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,425
"Ultimate Acne Duo (Complimentary Gift)",simple,13039,"Kate Somerville",,,enabled,213
"Gentle Daily Wash, 5 Fl. Oz. (Complimentary Gift)",simple,16259,"Kate Somerville","All Skin Types",,enabled,896
"Detox Daily Cleanser, 5 Fl. Oz. (Complimentary Gift)",simple,16260,"Kate Somerville",Acne;Oily,,enabled,773
"KateCeuticals™ Essentials Kit",simple,10226,"Kate Somerville",Anti-Aging;Dry,,enabled,390
"Now You See It, Now You Don't Kit",simple,10224,"Kate Somerville",,,enabled,166
"Simply Glowing Kit",simple,10222,"Kate Somerville",,,enabled,139
"Kate's Luminous & Bright Kit (Complimentary Gift)",simple,16255,"Kate Somerville",,,enabled,142
"Dilo Oil Restorative Treatment (Sample)",simple,39032,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
"Daily Deflector™ Waterlight Broad Spectrum SPF 50+ PA+++ Anti-Aging Sunscreen (Sample)",simple,39033,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,1142
"Eczema Therapy Cream (Sample)",simple,39034,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,730
"LumiWhite Skin Tone Perfector (Sample)",simple,39035,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,619
"IllumiKate™ Concealing Eye Cream Light (Sample)",simple,39038,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,560
"IllumiKate™ Concealing Eye Cream Medium (Sample)",simple,39039,"Kate Somerville","Anti-Aging;All Skin Types",,enabled,600
"IllumiKate™ Concealing Eye Cream Dark (Sample)",simple,39040_old,"Kate Somerville","Anti-Aging;All Skin Types",,disabled,0
"KateCeuticals™ Contouring Eye Serum",simple,10225,"Kate Somerville Eye Creams",Anti-Aging,,enabled,496
"EradiKate Mask Foam-Activated Acne Treatment",simple,10219,"Kate Somerville Acne Treatments","Anti-Aging & Acne;Acne",,enabled,93
"Quench Hydrating Face Serum (Allure Gift)",simple,16272,"Kate Somerville Serums",Anti-Aging;Sensitive;Dry,,disabled,-21
"Age Arrest Anti-Wrinkle Cream",configurable,10193_AgeArrest,"Kate Somerville Moisturizers","Anti-Aging & Acne;Acne;Oily",,enabled,0
"Age Arrest Anti-Wrinkle Cream, 5 Fl. Oz. Luxury Size",simple,10223,"Kate Somerville Moisturizers",Anti-Aging;Sensitive,,enabled,644
"Travel-size Deep Tissue Repair Cream and RetAsphere 2-in-1 Retinol Night Cream (Complimentary Gift)",simple,16271,"Kate Somerville",,,enabled,179
"ExfoliKate Intensive Exfoliating Treatment (Complimentary Gift)",simple,16275,"Kate Somerville",,,enabled,194
"Deep Tissue Repair Cream with Peptide K8 (Complimentary Gift)",simple,,"Kate Somerville",,,disabled,0
"Deep Tissue Repair Cream with Peptide K8",simple,16276,"Kate Somerville",,,enabled,360
"Age Arrest Anti-Wrinkle Cream (Auto-Replenishment Deluxe Sample)",simple,16277,"Kate Somerville Moisturizers","Sensitive;All Skin Types",,enabled,500
"RetAsphere 2-in-1 Retinol Night Cream (Auto-Replenishment Deluxe Sample)",simple,16279,"Kate Somerville Moisturizers","Sensitive;All Skin Types",,enabled,70
"Dilo Oil Restorative Treatment (Auto-Replenishment Deluxe Sample)",simple,16278,"Kate Somerville Moisturizers","Sensitive;All Skin Types",,enabled,500
"ExfoliKate® Intensive Exfoliating Treatment, 0.5 Fl. Oz. Travel Size Holiday Ornament",simple,10230,"Kate Somerville Exfoliators","Anti-Aging;Anti-Aging & Acne;Discoloration;Dry;Oily;All Skin Types",,disabled,173
"Luminous Holiday Kit",simple,13055,"Kate Somerville",Anti-Aging;Dry,,disabled,495
"Shimmering Holiday Kit",simple,13057,"Kate Somerville",Anti-Aging;Dry,,disabled,499
"Glowing Holiday Kit",simple,13053,"Kate Somerville",Anti-Aging;Dry,,disabled,490
"Age Arrest Holiday Kit",simple,13050,"Kate Somerville",Anti-Aging;Dry,,disabled,481
"Flawless Essentials Holiday Kit",simple,13052,"Kate Somerville",Anti-Aging;Dry,,disabled,493
"Clear Solutions Holiday Kit",simple,13051,"Kate Somerville",Anti-Aging;Dry,,disabled,497
"Men's Essentials Holiday Kit",simple,13056,"Kate Somerville",Anti-Aging;Dry,,disabled,498
"KateCeuticals™ Holiday Kit",simple,13054,"Kate Somerville",Anti-Aging;Dry,,disabled,497
"Nourish Body Perfection Body Rescue Cream (Complimentary Gift)",simple,16196,"Kate Somerville",,,enabled,1
"Nourish Daily Moisturizer (Complimentary Gift)",simple,16064,"Kate Somerville Moisturizers",,,enabled,114
"Nourish HydraGel Mask",simple,10229,"Kate Somerville Masks",,,enabled,216
"Oil Free Moisturizer (Complimentary Gift)",simple,16201,"Kate Somerville Moisturizers",,,enabled,124
"Complimentary Gift- ExfoliKate Intensive (7.5mL) & RetAsphere 2-in-1 (7.5mL)",simple,13060,"Kate Somerville",,,enabled,289
"NYSINYD Can",simple,"11140 ",Default,,,enabled,0
"DermalQuench Liquid Lift™ Advanced Wrinkle Treatment, 0.5 Fl. Oz.",simple,10214,"Kate Somerville Anti Aging Treatments",,,disabled,83
"Card EK & HDWkl",simple,"40938 ",Default,,,disabled,0
UCAntiBacknolnr,simple,"40948 ",Default,,,disabled,0
"carton 6 ft exf",simple,"80440 ",Default,,,disabled,0
"shipper machine",simple,"80432 ",Default,,,disabled,0
"UC DQRtnl 2.5oz",simple,"40939 ",Default,,,disabled,0
ShrkbndNour15ml,simple,"40943 ",Default,,,disabled,0
"UC ErdKtMsk&Acn",simple,"40942 ",Default,,,disabled,0
"UC AACrm&EDuo",simple,"40944 ",Default,,,disabled,0
"UPC RdCprtEsntl",simple,"40945 ",Default,,,disabled,0
"Liner Card",simple,"40947 ",Default,,,disabled,0
"Tray AAF&E Duo",simple,"40946 ",Default,,,disabled,0
"carton 6 ft age",simple,"80438 ",Default,,,disabled,0
"UPC NourMst10mL",simple,"80435 ",Default,,,disabled,0
"UPC HdrClr7.5mL",simple,"80433 ",Default,,,disabled,0
"carton 6ft erdM",simple,"80439 ",Default,,,disabled,0
"BtflIndlgnct HK",simple,"11151 ",Default,,,disabled,0
"Nourish Hydrating Firming Mist",simple,10228,"Kate Somerville",,,disabled,0
CrdDrmlBstrTrHK,simple,"80434 ",Default,,,disabled,0
"DQ Retinol 2.5o",simple,"10234 ",Default,,,disabled,0
AAAnti-AgingDuo,simple,"10235 ",Default,,,disabled,0
RdCrptEsntilsKt,simple,"10236 ",Default,,,disabled,0
SmpGlowCan,simple,"11141 ",Default,,,disabled,0
"ClncSltn Can",simple,"11142 ",Default,,,disabled,0
EK.5ozHldyBg,simple,"11143 ",Default,,,disabled,0
"HlwdGlow EK&Qch",simple,"11146 ",Default,,,disabled,0
ErdKAc&Msk,simple,"13061 ",Default,,,disabled,0
NordAnniv2015,simple,"13062 ",Default,,,disabled,0
"ErdKtMsk 2oz",simple,"14071 ",Default,,,disabled,0
"KC R-A Crm 1.7o",simple,"14072 ",Default,,,disabled,0
"A267470 000 000",simple,"15097 ",Default,,,disabled,0
"A267967 000 000",simple,"15098 ",Default,,,disabled,0
"DQ Retinol2.5oz",simple,"15099 ",Default,,,disabled,0
HlwdScrtKtHK,simple,"16293 ",Default,,,disabled,0
"PrPk Mrc'15Nord",simple,"16294 ",Default,,,disabled,0
KCReviveCrm,simple,"16295 ",Default,,,disabled,0
"BdGlw5oz TOA",simple,"16296 ",Default,,,disabled,0
PrmPrtcSPF15WIP,simple,"20131 ",Default,,,disabled,0
"DQ Retinol WIP",simple,"20135 ",Default,,,disabled,0
NourMist10mLUPC,simple,"35292 ",Default,,,disabled,0
"PrmPrt 5mL",simple,"35293 ",Default,,,disabled,0
"AASrm 7.5mL",simple,"35294 ",Default,,,disabled,0
"Can DQRtnl2.5oz",simple,"40936 ",Default,,,disabled,0
"Tb PrmPrtc7.5mL",simple,"40940 ",Default,,,disabled,0
"Tb AA Srm7.5mL",simple,"40941 ",Default,,,disabled,0
"UPC IlKt ELghtC",simple,"47231 ",Default,,,disabled,0
"UPC IlKtE Drk C",simple,"47233 ",Default,,,disabled,0
"Blk DQ Retinol",simple,"60112 ",Default,,,disabled,0
"Bulk PP SPF",simple,"60113 ",Default,,,disabled,0
"Machine Wheels",simple,"70029 ",Default,,,disabled,0
"Lbl SogoTSTCntr",simple,"80431 ",Default,,,disabled,0
"Mirror w KSLogo",simple,"80436 ",Default,,,disabled,0
LeafletNourHK,simple,"80437 ",Default,,,disabled,0
ShprWht5x5x3,simple,"90286 ",Default,,,disabled,0
"InnerPk 1ozTbs",simple,"90288 ",Default,,,disabled,0
"Shipper 1oz Tb",simple,"90289 ",Default,,,disabled,0
"MF Nour15mLwUPC",simple,"MF10233 ",Default,,,disabled,0
PolyBag7x8,simple,"90287 ",Default,,,disabled,0
"MF AAFace&E Duo",simple,"MF10235 ",Default,,,disabled,0
"MF RdCrptEsntls",simple,"MF10236 ",Default,,,disabled,0
"MF DQRtnl 2.5oz",simple,"MF10234 ",Default,,,disabled,0
"OBS 012215",simple,"MF11148 ",Default,,,disabled,0
MFPrmPrtSPF15Ca,simple,"MF11110 ",Default,,,disabled,0
MFClnSltnNoStkr,simple,"MF11150 ",Default,,,disabled,0
"MF BtflIndlg HK",simple,"MF11151 ",Default,,,disabled,0
"MF NourMsk(2)Ts",simple,"MF12107 ",Default,,,disabled,0
"MF ErdKAc&Msk",simple,"MF13061 ",Default,,,disabled,0
"MF ErdKtMkTstAU",simple,"MF12108 ",Default,,,disabled,0
"MF NordAnniv'15",simple,"MF13062 ",Default,,,disabled,0
"MF ErdKtMsk 2oz",simple,"MF14071 ",Default,,,disabled,0
"MF KC M-A 1.7oz",simple,"MF14072 ",Default,,,disabled,0
MFA266465000000,simple,"MF15096 ",Default,,,disabled,0
MFA267470000000,simple,"MF15097 ",Default,,,disabled,0
"MF A267967",simple,"MF15098 ",Default,,,disabled,0
"MF DQ Retinol",simple,"MF15099 ",Default,,,disabled,0
"MF PrPkJan'15#1",simple,"MF16288 ",Default,,,disabled,0
"MF PrPkJan'15#2",simple,"MF16289 ",Default,,,disabled,0
MFPrPkApr'15Nor,simple,"MF16292 ",Default,,,disabled,0
MFPrPkMrch'15NM,simple,"MF16291 ",Default,,,disabled,0
MFPrPkMrch'15No,simple,"MF16294 ",Default,,,disabled,0
"MF KCReviveCrm",simple,"MF16295 ",Default,,,disabled,0
MFBdGlw5ozTOA,simple,"MF16296 ",Default,,,disabled,0
"MF PrmPrtSPF30W",simple,"MF20131 ",Default,,,disabled,0
"MF DQRtnl WIP",simple,"MF20135 ",Default,,,disabled,0
"MF NourMskWIP",simple,"MF20134 ",Default,,,disabled,0
"MF AAC7.5mLwUPC",simple,"MF35288 ",Default,,,disabled,0
MFRetA7.5mLwUPC,simple,"MF35289 ",Default,,,disabled,0
MFNorMsk25pk,simple,"MF35290 ",Default,,,disabled,0
MFNourMt10mlUPC,simple,"MF35292 ",Default,,,disabled,0
"MF PrmPrtc 5mL",simple,"MF35293 ",Default,,,disabled,0
"MF AASrm7.5mL",simple,"MF35294 ",Default,,,disabled,0
"Nourish HydraGel Mask (Sample)",simple,39048,"Kate Somerville",,,disabled,350
"Prime Protection Dual Action Primer Broad Spectrum SPF15 (Sample)",simple,39040,"Kate Somerville",,,disabled,0
"Age Arrest Anti-Wrinkle Serum (Sample)",simple,39044,"Kate Somerville",,,disabled,0
"Beautiful Indulgences Kit",simple,10231,"Kate Somerville",,,disabled,0
